1404,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","CTh",,,"$299","36","$799"
1405,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","CTh",,,"0.9%","36",
1406,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","ES","350",,"$349","36","$1,699"
1407,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","ES","350",,"0.9%","36",
1408,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","ESh",,,"$379","36","$2,399"
1409,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","ESh",,,"0.9%","36",
1410,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","GS","350 F SPORT",,"$449","36","$3,699"
1411,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","GS","350 F SPORT",,"0.9%","60",
1412,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","GX","460",,"$499","36","$3,999"
1413,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","IS ","250",,"$349","36","$999"
1414,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","IS ","350",,"$399","36","$2,099"
1415,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","IS ","250",,"0.9%","36",
1416,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","ISC","250",,"$499","36","$3,199"
1417,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","LS","460",,"$899","36","$3,949"
1418,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","LX","570",,"$1,099","36","$4,299"
1419,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","RX","350",,"$399","36","$1,899"
1420,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","RX","350",,"0.9%","36",
1421,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","RXh",,,"$499","36","$3,699"
1422,"FINANCE*","SOUTHERN","Miami/Ft. Lauderdale","2015","RXh",,,"0.9%","36",
1423,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","RC","350",,"$449","36","$3,699"
1424,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","NX","200t",,"$369","36","$2,899"
1425,"LEASE*","SOUTHERN","Miami/Ft. Lauderdale","2015","NXh",,,"549","36","$3,949"
1881,"LEASE*","WESTERN","Los Angeles","2015","CTh",,,"$299","36","$999"
1882,"FINANCE*","WESTERN","Los Angeles","2015","CTh",,,"0.9%","36",
1883,"LEASE*","WESTERN","Los Angeles","2015","ES","350",,"$349","36","$1,999 "
1884,"FINANCE*","WESTERN","Los Angeles","2015","ES","350",,"0.9%","36",
1885,"LEASE*","WESTERN","Los Angeles","2015","ESh",,,"$389","36","$1,999"
1886,"FINANCE*","WESTERN","Los Angeles","2015","ESh",,,"0.9%","36",
1887,"LEASE*","WESTERN","Los Angeles","2015","GS","350 F SPORT",,"$449","36","$2,499"
1888,"FINANCE*","WESTERN","Los Angeles","2015","GS","350 F SPORT",,"0.9%","60",
1889,"LEASE*","WESTERN","Los Angeles","2015","GX","460",,"$499","36","$4,999"
1890,"LEASE*","WESTERN","Los Angeles","2015","IS ","250",,"$349","36","$999"
1891,"FINANCE*","WESTERN","Los Angeles","2015","IS ","250",,"0.9%","36",
1892,"LEASE*","WESTERN","Los Angeles","2015","LS","460",,"$899","36","$4,999"
1893,"LEASE*","WESTERN","Los Angeles","2015","LX","570",,"$1,119","36","$4,999 "
1894,"LEASE*","WESTERN","Los Angeles","2015","RX","350",,"$399","36","$2,999"
1895,"FINANCE*","WESTERN","Los Angeles","2015","RX","350",,"0.9%","36",
1896,"LEASE*","WESTERN","Los Angeles","2015","RXh",,,"$499","36","$3,999"
1897,"FINANCE*","WESTERN","Los Angeles","2015","RXh",,,"0.9%","36",
1898,"LEASE*","WESTERN","Los Angeles","2015","RC","350",,"$449","36","$3,799"
1899,"LEASE*","WESTERN","Los Angeles","2015","NX","200t",,"$369","36","$4,999"
1900,"LEASE*","WESTERN","Los Angeles","2015","NXh",,,"$519","36","$4,594"
